Country,Name,Artist,Listeners,Longitude,Latitude,longitude_offset,latitude_offset
Guatemala,In the End,Linkin Park,2311704,15.7835,-90.2308,17.170780806372274,-92.22909844591176
Guatemala,Take on Me,a-ha,2148860,15.7835,-90.2308,15.291408453291245,-89.8510358865102
Guatemala,Seven Nation Army,The White Stripes,2343189,15.7835,-90.2308,14.78843190906345,-90.09700510670885
Guatemala,Yellow,Coldplay,2642867,15.7835,-90.2308,17.51065802183867,-92.17417784640246
Guatemala,Come as You Are,Nirvana,2829904,15.7835,-90.2308,14.326938826136901,-88.44286247911234
Guatemala,Chop Suey!,System of a Down,2359479,15.7835,-90.2308,15.645329498745431,-91.39259193873072
Guatemala,Mr. Brightside,The Killers,3072882,15.7835,-90.2308,17.104220212330294,-88.60965785486663
Honduras,Yellow,Coldplay,2642867,15.2,-86.2419,16.379448507645613,-87.1998250701054
Honduras,Creep,Radiohead,2870305,15.2,-86.2419,16.35442022452697,-85.34759481384712
Honduras,Pumped Up Kicks,Foster the People,2194143,15.2,-86.2419,13.336934859359769,-86.31214887607712
Honduras,Can't Feel My Face,The Weeknd,1322599,15.2,-86.2419,14.488424812560517,-85.91464529690118
Honduras,Feel Good Inc.,Gorillaz,2661048,15.2,-86.2419,15.391449731824906,-87.18061518310856
Honduras,Seven Nation Army,The White Stripes,2343189,15.2,-86.2419,14.599154872674399,-86.39240711743619
Honduras,Do I Wanna Know?,Arctic Monkeys,2128754,15.2,-86.2419,15.547846487368737,-86.83840059097636
Honduras,In the End,Linkin Park,2311704,15.2,-86.2419,17.11203194867387,-86.57318547158489
Honduras,The Scientist,Coldplay,2306951,15.2,-86.2419,15.146731361585996,-86.68340230362443
Honduras,One More Time,Daft Punk,1754637,15.2,-86.2419,14.636464343149946,-86.52537376696192
Nicaragua,Take on Me,a-ha,2148860,12.8654,-85.2072,11.270050678748364,-85.62263632676549
Nicaragua,The Scientist,Coldplay,2306951,12.8654,-85.2072,12.769116896635605,-86.53314996678176
Nicaragua,Pumped Up Kicks,Foster the People,2194143,12.8654,-85.2072,12.395484637361935,-84.47896367092274
Nicaragua,Take Me Out,Franz Ferdinand,2363976,12.8654,-85.2072,13.232564816762011,-86.198588304565
Nicaragua,The Less I Know the Better,Tame Impala,1820269,12.8654,-85.2072,11.93285897787909,-85.57098062991899
Nicaragua,Sex on Fire,Kings of Leon,2169667,12.8654,-85.2072,13.13664876859202,-87.04286450732957
Nicaragua,Everybody Wants to Rule the World,Tears for Fears,1938938,12.8654,-85.2072,14.431052302915155,-85.99797982975844
Nicaragua,Seven Nation Army,The White Stripes,2343189,12.8654,-85.2072,11.224619753491204,-85.15210108690393
Nicaragua,Every Breath You Take,The Police,1795526,12.8654,-85.2072,14.714709987565483,-85.30979395043721
Nicaragua,Hello,Adele,820388,12.8654,-85.2072,14.451638428928092,-83.38668301789518
Costa Rica,Creep,Radiohead,2870305,9.7489,-83.7534,9.288291127202914,-84.44914978858998
Costa Rica,Losing My Religion,R.E.M.,1842134,9.7489,-83.7534,9.064037013364002,-83.93124479130515
Costa Rica,Karma Police,Radiohead,2466252,9.7489,-83.7534,10.920715945002769,-81.93678894105729
Costa Rica,Chop Suey!,System of a Down,2359479,9.7489,-83.7534,10.882316643006916,-85.59918069355409
Costa Rica,Mr. Brightside,The Killers,3072882,9.7489,-83.7534,8.801197672463207,-82.3021434220262
Costa Rica,Feel Good Inc.,Gorillaz,2661048,9.7489,-83.7534,9.065001317262228,-83.22154127373445
Costa Rica,Take on Me,a-ha,2148860,9.7489,-83.7534,9.66540218490649,-82.81694048871329
Costa Rica,Under the Bridge,Red Hot Chili Peppers,2211851,9.7489,-83.7534,8.49516269373213,-85.26713934598523
Costa Rica,Everlong,Foo Fighters,2339983,9.7489,-83.7534,11.257092346419968,-83.736436235309
Costa Rica,Smells Like Teen Spirit,Nirvana,3206072,9.7489,-83.7534,11.49215878180732,-82.89894332053203
Panama,In the End,Linkin Park,2311704,8.538,-80.7821,8.503003791724211,-80.1958412162806
Panama,Smells Like Teen Spirit,Nirvana,3206072,8.538,-80.7821,7.7802943743534545,-81.07291538710454
Panama,Take on Me,a-ha,2148860,8.538,-80.7821,10.457144211399722,-81.18207230365412
Panama,Chop Suey!,System of a Down,2359479,8.538,-80.7821,9.61269473383794,-81.45549553488772
Panama,Creep,Radiohead,2870305,8.538,-80.7821,7.487366097472693,-80.52779409636256
Panama,Mr. Brightside,The Killers,3072882,8.538,-80.7821,10.133411055956394,-81.53326499130354
Panama,Come as You Are,Nirvana,2829904,8.538,-80.7821,9.623949617589059,-81.31899718416595
Panama,Losing My Religion,R.E.M.,1842134,8.538,-80.7821,10.50722741050494,-79.29888928541168
Panama,Zombie,The Cranberries,2012693,8.538,-80.7821,7.317717270088094,-78.90994178765796
Panama,Sweet Child o' Mine,Guns N' Roses,2065128,8.538,-80.7821,6.6515430917131475,-82.07787974088546
Cuba,Blinding Lights,The Weeknd,1707888,21.5218,-77.7812,22.86454591908903,-79.37064266135552
Cuba,Everlong,Foo Fighters,2339983,21.5218,-77.7812,21.162231177522848,-79.08006515617001
Cuba,Smells Like Teen Spirit,Nirvana,3206072,21.5218,-77.7812,22.7862840251604,-76.13124444916956
Cuba,Save Your Tears,The Weeknd,1286958,21.5218,-77.7812,21.993389253814343,-77.3789272247417
Cuba,Everybody Wants to Rule the World,Tears for Fears,1938938,21.5218,-77.7812,20.630911536071483,-77.25402525932358
Cuba,Take on Me,a-ha,2148860,21.5218,-77.7812,21.37023796576448,-79.52992954320717
Cuba,Billie Jean,Michael Jackson,2228528,21.5218,-77.7812,21.43018431611285,-79.42443272085629
Cuba,Losing My Religion,R.E.M.,1842134,21.5218,-77.7812,19.88159362119475,-76.94025076426726
Cuba,Last Nite,The Strokes,1656955,21.5218,-77.7812,19.99254233245405,-78.37127609745019
Cuba,Fortunate Son,Creedence Clearwater Revival,1674461,21.5218,-77.7812,22.869325060268324,-75.86183563505989
Dominican Republic,Smells Like Teen Spirit,Nirvana,3206072,18.7357,-70.1627,20.54765208958099,-70.7445334411972
Dominican Republic,Can't Feel My Face,The Weeknd,1322599,18.7357,-70.1627,18.76542495909019,-69.33055162806538
Dominican Republic,Take on Me,a-ha,2148860,18.7357,-70.1627,18.456438692432023,-68.97829921832462
Dominican Republic,Losing My Religion,R.E.M.,1842134,18.7357,-70.1627,18.351400670288648,-68.57657510276455
Dominican Republic,Do I Wanna Know?,Arctic Monkeys,2128754,18.7357,-70.1627,17.37529292444831,-71.52130305196174
