Country,Name,Artist,Listeners,Longitude,Latitude
Ecuador,Do I Wanna Know?,Arctic Monkeys,2128754,-1.8312,-78.1834
Ecuador,Smells Like Teen Spirit,Nirvana,3206072,-1.8312,-78.1834
Ecuador,Come as You Are,Nirvana,2829904,-1.8312,-78.1834
Ecuador,Bitter Sweet Symphony,The Verve,1541354,-1.8312,-78.1834
Bolivia,Creep,Radiohead,2870305,-16.2902,-63.5887
Bolivia,Smells Like Teen Spirit,Nirvana,3206072,-16.2902,-63.5887
Bolivia,Otherside,Red Hot Chili Peppers,1918734,-16.2902,-63.5887
Bolivia,Sex on Fire,Kings of Leon,2169667,-16.2902,-63.5887
Bolivia,Take on Me,a-ha,2148860,-16.2902,-63.5887
Bolivia,Losing My Religion,R.E.M.,1842134,-16.2902,-63.5887
Bolivia,Come as You Are,Nirvana,2829904,-16.2902,-63.5887
Bolivia,Under the Bridge,Red Hot Chili Peppers,2211851,-16.2902,-63.5887
Bolivia,Seven Nation Army,The White Stripes,2343189,-16.2902,-63.5887
Bolivia,Sweet Child o' Mine,Guns N' Roses,2065128,-16.2902,-63.5887
Paraguay,Mr. Brightside,The Killers,3072882,-23.4425,-58.4438
Paraguay,Take Me Out,Franz Ferdinand,2363976,-23.4425,-58.4438
Paraguay,Do I Wanna Know?,Arctic Monkeys,2128754,-23.4425,-58.4438
Paraguay,Seven Nation Army,The White Stripes,2343189,-23.4425,-58.4438
Paraguay,Creep,Radiohead,2870305,-23.4425,-58.4438
Paraguay,Take on Me,a-ha,2148860,-23.4425,-58.4438
Paraguay,Sex on Fire,Kings of Leon,2169667,-23.4425,-58.4438
Paraguay,Africa,Toto,1647599,-23.4425,-58.4438
Paraguay,Feel Good Inc.,Gorillaz,2661048,-23.4425,-58.4438
Paraguay,Last Nite,The Strokes,1656955,-23.4425,-58.4438
Uruguay,Losing My Religion,R.E.M.,1842134,-32.5228,-55.7658
Uruguay,Smells Like Teen Spirit,Nirvana,3206072,-32.5228,-55.7658
Uruguay,Last Nite,The Strokes,1656955,-32.5228,-55.7658
Uruguay,Seven Nation Army,The White Stripes,2343189,-32.5228,-55.7658
Uruguay,Creep,Radiohead,2870305,-32.5228,-55.7658
Uruguay,Take on Me,a-ha,2148860,-32.5228,-55.7658
Uruguay,Under the Bridge,Red Hot Chili Peppers,2211851,-32.5228,-55.7658
Uruguay,Take Me Out,Franz Ferdinand,2363976,-32.5228,-55.7658
Uruguay,Reptilia,The Strokes,1919555,-32.5228,-55.7658
Uruguay,Sultans of Swing,Dire Straits,1522259,-32.5228,-55.7658
Nigeria,Ojuelegba,Wizkid,35107,9.082,8.6753
Nigeria,Can't Feel My Face,The Weeknd,1322599,9.082,8.6753
Nigeria,On The Low,Burna Boy,88331,9.082,8.6753
Nigeria,Mad over You,RUNTOWN,17848,9.082,8.6753
Nigeria,Shape of You,Ed Sheeran,951830,9.082,8.6753
Nigeria,Hello,Adele,820388,9.082,8.6753
Nigeria,Ye,Burna Boy,88834,9.082,8.6753
Nigeria,Gbona,Burna Boy,74898,9.082,8.6753
Nigeria,Pana,Tekno,24001,9.082,8.6753
Nigeria,HUMBLE.,Kendrick Lamar,1544791,9.082,8.6753
South Africa,Smells Like Teen Spirit,Nirvana,3206072,-30.5595,22.9375
South Africa,Seven Nation Army,The White Stripes,2343189,-30.5595,22.9375
South Africa,Creep,Radiohead,2870305,-30.5595,22.9375
South Africa,Mr. Brightside,The Killers,3072882,-30.5595,22.9375
South Africa,Come as You Are,Nirvana,2829904,-30.5595,22.9375
South Africa,Take on Me,a-ha,2148860,-30.5595,22.9375
South Africa,Losing My Religion,R.E.M.,1842134,-30.5595,22.9375
South Africa,Africa,Toto,1647599,-30.5595,22.9375
South Africa,Under the Bridge,Red Hot Chili Peppers,2211851,-30.5595,22.9375
South Africa,Karma Police,Radiohead,2466252,-30.5595,22.9375
Egypt,Wish You Were Here,Pink Floyd,1638667,26.8206,30.8025
Egypt,Creep,Radiohead,2870305,26.8206,30.8025
Egypt,Do I Wanna Know?,Arctic Monkeys,2128754,26.8206,30.8025
Egypt,Comfortably Numb,Pink Floyd,1269582,26.8206,30.8025
Egypt,In the End,Linkin Park,2311704,26.8206,30.8025
Egypt,Zombie,The Cranberries,2012693,26.8206,30.8025
