Country,Longitude,Latitude,Artist,Listeners,longitude_offset,latitude_offset
United States,37.0902,-95.7129,Kanye West,6643150,37.38052341055637,-95.8903861327114
United States,37.0902,-95.7129,Drake,5588059,36.22776133983147,-96.5676384995969
United States,37.0902,-95.7129,Fleetwood Mac,3704944,36.4985608893211,-94.89682587016502
United States,37.0902,-95.7129,Kendrick Lamar,3714943,38.035421066675404,-94.04124105320544
United States,37.0902,-95.7129,Queen,5891543,36.65582245341999,-93.95835142648946
United States,37.0902,-95.7129,Weezer,4348383,36.54266826798507,-94.686908922592
Canada,56.1304,-106.3468,Radiohead,6589277,54.739451704172346,-106.36133364286502
Canada,56.1304,-106.3468,The Weeknd,3979631,56.16276912611245,-105.56105788288794
Canada,56.1304,-106.3468,David Bowie,4621259,58.01415530531775,-104.66382129669356
Canada,56.1304,-106.3468,The Beatles,5334045,56.7309918927121,-107.92151725542179
Canada,56.1304,-106.3468,Drake,5588059,54.13554972203917,-105.60815917209567
Canada,56.1304,-106.3468,Coldplay,7483430,57.65226116715315,-107.35488795080263
Canada,56.1304,-106.3468,Kanye West,6643150,54.4376288375928,-107.74952161087162
Canada,56.1304,-106.3468,Daft Punk,5226051,55.571504414789246,-107.41244720926034
Canada,56.1304,-106.3468,Queen,5891543,56.41335226071448,-107.37610724987778
Canada,56.1304,-106.3468,Fleetwood Mac,3704944,54.98877219929112,-106.46652450930175
Mexico,23.6345,-102.5528,Radiohead,6589277,21.985545907915558,-104.02483381959398
Mexico,23.6345,-102.5528,Coldplay,7483430,25.236229709028486,-104.24160437454698
Mexico,23.6345,-102.5528,Daft Punk,5226051,23.571212482042686,-101.19408004452796
Mexico,23.6345,-102.5528,Queen,5891543,24.572243243686753,-101.45014699230622
Mexico,23.6345,-102.5528,Gorillaz,5427092,24.06859141014007,-100.83732722759862
Mexico,23.6345,-102.5528,David Bowie,4621259,22.590268553882556,-101.14911177524337
Mexico,23.6345,-102.5528,Café Tacvba,523193,25.000186624329856,-101.22203172828014
Mexico,23.6345,-102.5528,The Beatles,5334045,21.829892922704296,-102.80206521026604
Mexico,23.6345,-102.5528,Arctic Monkeys,5680270,23.750498091729398,-101.43468301015805
Mexico,23.6345,-102.5528,The Strokes,4706672,24.69531369096805,-103.39782078413093
Guatemala,15.7835,-90.2308,Coldplay,7483430,15.764471731427301,-91.64247757224003
Guatemala,15.7835,-90.2308,Radiohead,6589277,14.357115041414144,-89.95588594543378
